company_uuid,person_uuid,role,title
198c1cac-f33f-e9e4-7972-2fb311be31dc,9c9c60b4-a75b-dcbd-c608-f059b82a22a2,c_suite,Co-Founder & CTO
198c1cac-f33f-e9e4-7972-2fb311be31dc,b0eb12bf-2059-a65f-5638-e6e2eab8d0ce,founder,Co-Founder
e8d980e4-0fad-cb73-98c5-d1603114f003,ef330d51-bc63-17fe-19d2-ae1d88dd8bf9,c_suite,CEO and Founder
7ffef390-5eae-f930-5297-76de5ac36dcd,0d2f1cce-94a1-34a1-ff26-6e9f689528e4,c_suite,"Co-Founder,CEO"
07619a1d-8b2a-75fa-6a74-8934db40a461,e17cb199-f029-a169-02e0-ddb8bc196ba5,c_suite,Founder & CEO
07619a1d-8b2a-75fa-6a74-8934db40a461,52b476bd-de03-4014-91b6-af52b89f9e6c,c_suite,CTO & co-founder
07619a1d-8b2a-75fa-6a74-8934db40a461,714d6a15-04e2-92c0-199a-4a186ec7326f,other,Sales Manager
92a1bd21-3c16-564c-a6c0-b9a14b2fd463,10ad294b-2653-cf22-3cd8-90c339809a1d,c_suite,Co-Founder and CTO
92a1bd21-3c16-564c-a6c0-b9a14b2fd463,385ea332-6c6f-a66a-8d43-15ea0ef1d9c2,c_suite,Founder and CEO
a8cd9d0c-27d7-6d6b-65fd-17ee14ffb993,0ca39b4e-6b76-cba0-2819-941093c27763,c_suite,CTO
a8cd9d0c-27d7-6d6b-65fd-17ee14ffb993,806f0e60-4bfd-4dbe-a724-c605fa232475,c_suite,Founder and CEO
a8cd9d0c-27d7-6d6b-65fd-17ee14ffb993,5e101965-a953-5096-5444-f85ca04be58d,c_suite,Co-Founder and Chief Product Officer
a8cd9d0c-27d7-6d6b-65fd-17ee14ffb993,833576aa-1669-49a4-9e5f-9b2524a3bba7,founder,"Co-Founder, President and CCO"
68d21ada-1287-fad4-b465-9aa653ccc7da,0ac1d3cb-f0ea-65fc-14fa-bde7785ff9e2,c_suite,Cofounder and CEO
68d21ada-1287-fad4-b465-9aa653ccc7da,5a8ab8f2-e5fd-50e8-8729-b1ae20b790f3,c_suite,Co-Founder & COO
68d21ada-1287-fad4-b465-9aa653ccc7da,078e651a-7604-8d73-1b09-342ba949c6b6,other,Project Development Manager
1f859b0d-2f1c-6ddb-695b-f45286eb3d35,889260e0-57dc-5a03-8f51-49ef96432f5f,founder,Head Of MarketView & Founder
1f859b0d-2f1c-6ddb-695b-f45286eb3d35,2e9c5a41-470b-572f-52c7-556846ff1510,c_suite,Founder and CTO
1f859b0d-2f1c-6ddb-695b-f45286eb3d35,3235e30f-61f1-75e0-9c59-280c0632f9de,c_suite,Chief Executive Officer
1f859b0d-2f1c-6ddb-695b-f45286eb3d35,20743199-71b9-0298-48a8-da28150aa33d,founder,Founder & President
1f859b0d-2f1c-6ddb-695b-f45286eb3d35,d3bf8a19-05b4-4ac5-9149-5f39772b28c2,vp,VP Industry Engagement
1f859b0d-2f1c-6ddb-695b-f45286eb3d35,1b8aee61-e283-eea1-bf35-5b26627efc53,c_suite,Chief Revenue Officer
1438c65c-fa1e-9904-ecc8-91378e4d652f,0e63192f-5ec0-fb89-761c-365f0c538f7d,c_suite,Co-Founder and CTO
1438c65c-fa1e-9904-ecc8-91378e4d652f,eec56c33-fdd1-4649-97a3-e5548890cc89,c_suite,Founder and CEO
8a0a04b0-d053-a602-ea8a-1e544514e741,4dc5ba38-b8c5-7c20-cfad-915a14662393,c_suite,CTO
8a0a04b0-d053-a602-ea8a-1e544514e741,339922e2-39f1-d090-f123-bba8d3902809,founder,Co-founder
8a0a04b0-d053-a602-ea8a-1e544514e741,de7b9021-f83b-4f2f-b3b9-0310b70c5906,advisor,Strategic Advisor
8a0a04b0-d053-a602-ea8a-1e544514e741,2f22cba3-e562-486e-8313-cf1961c5d0b3,vp,Head of Marketing
84da7062-5466-a27d-2b2d-d013c206947f,8443f816-3ff4-24bd-c600-45ec9e91fc94,founder,Founder
84da7062-5466-a27d-2b2d-d013c206947f,b2c4e469-c4c5-7448-77b7-62a12edfb011,founder,Co-Founder
56ad54a1-ef0d-c862-8ed1-657996235cc5,7feca336-8d65-7f17-4947-2f29ccc71e35,c_suite,Founder & CEO
56ad54a1-ef0d-c862-8ed1-657996235cc5,518e485c-7492-4f96-82cb-6476028909a6,founder,Co Founder & Chief Growth Officer
56ad54a1-ef0d-c862-8ed1-657996235cc5,c9240928-325f-9554-4a53-2bb36c3bc824,advisor,Advisor
56ad54a1-ef0d-c862-8ed1-657996235cc5,58968020-c942-49b9-a1b3-ffbd8e7dd715,c_suite,Chief Science Officer
56ad54a1-ef0d-c862-8ed1-657996235cc5,143b204a-cd92-32ef-6395-b60df02c336e,other,Chief Innovation Officer
56ad54a1-ef0d-c862-8ed1-657996235cc5,43d0f3d5-a671-bdef-1d54-fd497ec8007c,c_suite,"Chief Medical & Clinical Informatics Officer, Co-Founder"
56ad54a1-ef0d-c862-8ed1-657996235cc5,05f79914-82d3-96af-f313-3d80a7187a7e,other,Product and Clinical Operations
d22b15ee-e454-9062-f8c0-f77f2d0f8526,634ca357-6ed3-9d5c-c6eb-9132a0ac5738,c_suite,CEO
