investor_uuid,permalink,name,entity_def_id,investor_type,investment_count,website
21808584-00a8-43c1-ba70-a25f556461ee,nicholas-elledge-61ee,Nicholas Elledge,person,angel_investor,,
b2604fa2-02b6-3510-753d-b7b38a4bb062,nicholas-pilkington,Nicholas Pilkington,person,angel_investor,,
04e48b72-4daf-985b-4dad-bbc9a53de249,paul-stahura,Paul Stahura,person,angel_investor,,
d7f63b50-ca5f-48c6-88aa-7ccd184e05da,robin-choy,Robin Choy,person,angel_investor,,
c5b533c0-b6b4-41e8-bc7d-7fb4fb650da1,shawn-swyx-w,Shawn swyx W,person,angel_investor,,
2226e4b2-4f65-08a5-eac5-bfd27c7a6c9f,stan-boland,Stan Boland,person,angel_investor,,
961bcdba-7d88-43d5-9c8a-01cd8182aaa7,theory-forge-ventures,Theory Forge Ventures,organization,venture_capital,,https://www.theoryforge.vc
025d9d33-736d-4775-b237-5ae4beac45d8,thijn-lamers,Thijn Lamers,person,angel_investor,,
9e5a56c5-43a3-5ecf-ea96-dffb282275e0,startup-junkie-consulting,Startup Junkie,organization,,,http://www.startupjunkie.org/
16b1b25d-8f53-44f9-bbed-c1e5a2476f89,ali-tamaseb,Ali Tamaseb,person,angel_investor,,
395d9904-84cf-43e5-ba54-409ddb309ed8,odessa-international-trust,ODESSA International Trust,organization,corporate_venture_capital,,https://aid4face2geo.com
e7465b03-0112-4245-89c2-6199d86d0ee7,runi-ventures,RUNI Ventures,organization,venture_capital,,https://www.runiventures.com
f410d233-5f13-4645-8735-953e093e1a3e,anonymous-angel-1a3e,Anonymous Angel,person,angel_investor,,
5188f3c4-5c67-4859-99f2-5f61296ba52a,ae-ventures,AE Ventures,organization,venture_capital,,https://www.aeroequity.com/ventures/
11350148-f510-452e-a227-340c41849d10,chris-heinz-9d10,Chris Heinz,person,angel_investor,,
e1f461ef-f5ca-46cb-849d-9821acacfad7,fulcrum-venture-group,Fulcrum Venture Group,organization,venture_capital,,https://www.fulcrumvg.com/
dca33fcd-e786-0765-c25f-49e8d22f7af1,john-tenet,John Tenet,person,angel_investor,,
3534f72f-f085-4ca3-b26c-e5bbb0fbee8a,paul-schimmel-ee8a,Paul Schimmel,person,angel_investor,,
c413edcc-672b-5b6f-84d2-b4f42f4fa05d,robert-cohn,Robert Cohn,person,angel_investor,,
106dbdf4-b6ae-170e-71bc-a47671c205e6,nima-asghari,NiMA Asghari,person,angel_investor,,
3418d3ef-5501-4c77-a9ef-a25f7d98daf5,scott-moore-daf5,Scott Moore,person,angel_investor,,
28a0fbc0-bf63-46f5-b84c-128495191f78,seed-club-ventures,Seed Club Ventures,organization,venture_capital,,https://seedclub.ventures/
427b1ed6-57bb-42de-b4ff-4464f98177b2,thomas-howell-77b2,Thomas Howell,person,angel_investor,,
e42f713c-7787-4c93-be80-17e3aff4c92a,founders-innovation-group,Founders Innovation Group,organization,,,
65d5d82f-f1e3-c2a9-d959-82fca7d61767,marius-ciocirlan,Marius Ciocirlan,person,angel_investor,,
9bfddcf6-9e95-ab81-4840-53701c2ef81e,nextai,Next AI,organization,accelerator,,https://www.nextcanada.com/
94207fdb-3779-47dc-a26a-44ac556a1fc5,jay-farner-1fc5,Jay Farner,person,angel_investor,,
